redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_application_build,redpanda.application.build,gauge,,,,"Build information for Redpanda, including the revision and version details",-1,redpanda,application build ,
redpanda_application_fips_mode,redpanda.application.fips_mode,gauge,,,,"Indicates whether Redpanda is running in FIPS mode. Possible values: 0 = disabled, 1 = permissive, 2 = enabled",,redpanda,fips mode,
redpanda_application_uptime_seconds_total,redpanda.application.uptime,gauge,,second,,Redpanda uptime in seconds,-1,redpanda,application uptime ,
redpanda_authorization_result,redpanda.authorization.result,count,,,,"Cumulative count of authorization results, categorized by result type.",,redpanda,authorization result,
redpanda_cloud_client_backoff,redpanda.cloud.client_backoff,count,,operation,,Total number of requests that backed off,-1,redpanda,cloud client backoff,
redpanda_cloud_client_client_pool_utilization,redpanda.cloud.client_pool_utilization,gauge,,,,"Current utilization (as a percentage, 0–100) of the object storage client pool.",,redpanda,cloud client pool utilization,
redpanda_cloud_client_download_backoff,redpanda.cloud.client_download_backoff,count,,operation,,Total number of download requests that backed off,-1,redpanda,cloud client download backoff,
redpanda_cloud_client_downloads,redpanda.cloud.client_downloads,count,,,,Total number of requests that downloaded an object from cloud storage,-1,redpanda,cloud client downloads,
redpanda_cloud_client_lease_duration,redpanda.cloud.client_lease_duration,histogram,,,,Lease duration histogram.,,redpanda,cloud client lease duration,
redpanda_cloud_client_not_found,redpanda.cloud.client_not_found,count,,,,Total number of requests for which the object was not found,-1,redpanda,cloud client not found,
redpanda_cloud_client_num_borrows,redpanda.cloud.client_num_borrows,count,,,,Count of instances where a shard borrowed a object storage client from another shard.,-1,redpanda,,
redpanda_cloud_client_upload_backoff,redpanda.cloud.client_upload_backoff,count,,,,Total number of upload requests that backed off,-1,redpanda,cloud client upload backoff,
redpanda_cloud_client_uploads,redpanda.cloud.client_uploads,count,,,,Total number of requests that uploaded an object to cloud storage,-1,redpanda,cloud client uploads,
redpanda_cloud_storage_active_segments,redpanda.cloud.storage.active_segments,gauge,,,,Number of remote log segments that are currently hydrated and available for read operations,-1,redpanda,cloud storage active segments,
redpanda_cloud_storage_cache_op_hit,redpanda.cloud.storage.cache_op_hit,count,,,,Number of get requests for objects that are already in cache.,-1,redpanda,cloud storage cache op hit,
redpanda_cloud_storage_cache_op_in_progress_files,redpanda.cloud.storage.op_in_progress_files,gauge,,,,Number of files currently being written to the cache.,-1,redpanda,cloud storage op in progress files,
